id	Time	TNF	RE	Ric	treat.1	treat	k	fb	ric	exp_unit
1	T0	0	0	A	1	I	1	4.63	12	eu1
2	T0	0	0	A	1	I	1	7.12	12	eu2
3	T0	0	0	A	1	I	1	4.99	12	eu3
4	T0	0	0	A	1	I	1	11.83	12	eu4
5	T0	0	0	A	1	I	1	12.99	12	eu5
6	T0	0	0	B	1	I	1	1.71	5	eu6
7	T0	0	0	B	1	I	1	2.46	5	eu7
8	T0	0	0	B	1	I	1	2.12	5	eu8
9	T0	0	0	B	1	I	1	1.92	5	eu9
10	T0	0	0	B	1	I	1	1.41	5	eu10
11	T1	28	0	A	1	I	0.29	10.77	9	eu1
12	T1	28	0	A	1	I	0.2	7.04	9	eu2
13	T1	28	0	A	1	I	0.13	11.07	9	eu3
14	T1	28	0	A	1	I	0.22	6.5	9	eu4
15	T1	28	0	A	1	I	0.16	8.84	9	eu5
16	T2	28	14	A	1	I	0.19	35.7	11	eu1
17	T2	28	14	A	1	I	0.56	30.11	11	eu2
18	T2	28	14	A	1	I	0.17	33.71	11	eu3
19	T2	28	14	A	1	I	0.14	38.17	11	eu4
20	T2	28	14	A	1	I	0.12	30.84	11	eu5
21	T1	28	0	B	1	I	0.04	2.62	3	eu6
22	T1	28	0	B	1	I	0	1.92	3	eu7
23	T1	28	0	B	1	I	0	4.2	3	eu8
24	T1	28	0	B	1	I	0	0.91	3	eu9
25	T1	28	0	B	1	I	0.22	6.52	3	eu10
26	T2	28	14	B	1	I	0.16	11.39	5	eu6
27	T2	28	14	B	1	I	0.13	17.68	5	eu7
28	T2	28	14	B	1	I	0.12	22.02	5	eu8
29	T2	28	14	B	1	I	0.14	19.63	5	eu9
30	T2	28	14	B	1	I	0.06	17.68	5	eu10
31	T0	0	0	A	2	F	0	4.63	12	eu11
32	T0	0	0	A	2	F	0	7.12	12	eu12
33	T0	0	0	A	2	F	0	4.99	12	eu13
34	T0	0	0	A	2	F	0	11.83	12	eu14
35	T0	0	0	A	2	F	0	12.99	12	eu15
36	T0	0	0	B	2	F	0	1.71	5	eu16
37	T0	0	0	B	2	F	0	2.46	5	eu17
38	T0	0	0	B	2	F	0	2.12	5	eu18
39	T0	0	0	B	2	F	0	1.92	5	eu19
40	T0	0	0	B	2	F	0	1.41	5	eu20
41	T1	0	28	A	2	F	0.31	84.89	12	eu11
42	T1	0	28	A	2	F	0.3	34.36	12	eu12
43	T1	0	28	A	2	F	0.31	53.49	12	eu13
44	T1	0	28	A	2	F	0.23	43.53	12	eu14
45	T1	0	28	A	2	F	NA	NA	12	eu15
46	T2	0	42	A	2	F	0.39	32.8	12	eu11
47	T2	0	42	A	2	F	0.31	59.04	12	eu12
48	T2	0	42	A	2	F	0.25	43.39	12	eu13
49	T2	0	42	A	2	F	0.26	41.75	12	eu14
50	T2	0	42	A	2	F	0.24	39.97	12	eu15
51	T1	0	28	B	2	F	0.21	43.11	5	eu16
52	T1	0	28	B	2	F	0.14	50.14	5	eu17
53	T1	0	28	B	2	F	0.14	34.9	5	eu18
54	T1	0	28	B	2	F	0.27	68.1	5	eu19
55	T1	0	28	B	2	F	0.12	28.81	5	eu20
56	T2	0	42	B	2	F	0.09	76.28	8	eu16
57	T2	0	42	B	2	F	0.11	40.83	8	eu17
58	T2	0	42	B	2	F	0.31	69.1	8	eu18
59	T2	0	42	B	2	F	0.22	42.19	8	eu19
60	T2	0	42	B	2	F	0.11	33.93	8	eu20
61	T0	0	0	A	3	D	0	4.63	12	eu21
62	T0	0	0	A	3	D	0	7.12	12	eu22
63	T0	0	0	A	3	D	0	4.99	12	eu23
64	T0	0	0	A	3	D	0	11.83	12	eu24
65	T0	0	0	A	3	D	0	12.99	12	eu25
66	T0	0	0	B	3	D	0	1.71	5	eu26
67	T0	0	0	B	3	D	0	2.46	5	eu27
68	T0	0	0	B	3	D	0	2.12	5	eu28
69	T0	0	0	B	3	D	0	1.92	5	eu29
70	T0	0	0	B	3	D	0	1.41	5	eu30
71	T1	28	0	A	3	D	0.14	15.37	9	eu21
72	T1	28	0	A	3	D	0.19	14.35	9	eu22
73	T1	28	0	A	3	D	0.2	14.45	9	eu23
74	T1	28	0	A	3	D	0	7.72	9	eu24
75	T1	28	0	A	3	D	0.24	14.79	9	eu25
76	T2	42	0	A	3	D	0	9.37	7	eu21
77	T2	42	0	A	3	D	0.16	12.03	7	eu22
78	T2	42	0	A	3	D	0.15	3.48	7	eu23
79	T2	42	0	A	3	D	0.21	9.32	7	eu24
80	T2	42	0	A	3	D	0.2	12.42	7	eu25
81	T1	28	0	B	3	D	-0.01	1.59	3	eu26
82	T1	28	0	B	3	D	0	0.58	3	eu27
83	T1	28	0	B	3	D	0.05	1.12	3	eu28
84	T1	28	0	B	3	D	0.04	0.45	3	eu29
85	T1	28	0	B	3	D	0.14	2.57	3	eu30
86	T2	28	0	B	3	D	0.01	0.8	2	eu26
87	T2	28	0	B	3	D	0	0.96	2	eu27
88	T2	28	0	B	3	D	0.18	4.48	2	eu28
89	T2	28	0	B	3	D	0.17	2.12	2	eu29
90	T2	28	0	B	3	D	0	2.24	2	eu30
