id	time	ric	treat	TNF	k	fb	prod
1	T2	high	I	28	0.8104	35.70243007	0.739760531
2	T2	high	I	28	NA	30.11470868	0.547555253
3	T2	high	I	28	0.8347	33.70781663	0.683813832
4	T2	high	I	28	0.8632	38.16678306	0.627169444
5	T2	high	I	28	0.8844	30.84375582	0.425160308
6	T2	low	I	28	0.838	11.39319051	0.230630596
7	T2	low	I		0.868	NA	NA
8	T2	low	I	28	0.8843	22.01604495	0.473831947
9	T2	low	I	28	0.8557	19.62799388	0.463425558
10	T2	low	I		0.9429	NA	NA
31	T2	high	F	0	0.6129	32.80081501	0.670674458
32	T2	high	F	0	0.693	59.04201335	1.236300602
33	T2	high	F		0.7512	NA	NA
34	T2	high	F	0	0.7422	41.74513235	0.712368237
35	T2	high	F	0	0.756	39.97225004	0.642505409
36	T2	low	F	0	0.9051	76.27831444	1.7755145
37	T2	low	F	0	0.8947	40.83314877	0.913585365
38	T2	low	F	0	0.6935	69.10363662	1.594965082
39	T2	low	F	0	0.7756	42.19051265	1.000628385
40	T2	low	F	0	0.8894	33.93274601	0.774254966
61	T2	high	D	42	NA	9.366519297	0.112715036
62	T2	high	D	42	0.8362	12.02580528	0.116867076
63	T2	high	D	42	0.8531	3.480048998	-0.035894921
64	T2	high	D		0.7913	NA	NA
65	T2	high	D	42	0.804	12.42201587	-0.013452548
66	T2	low	D	42	0.9858	0.797804278	-0.021640504
67	T2	low	D	42	NA	0.958498946	-0.03581106
68	T2	low	D	42	0.8153	4.48378019	0.056397071
69	T2	low	D		0.8339	NA	NA
70	T2	low	D	42	NA	2.241322316	0.019697259
