site	ric	k	FB	ZFT	ZFP	ZFL	RE	temp	ph	cond	do	srp	din	alt	order	precipitation	area	urb	agric	nat	y	x
1	29	0.005172134	33.43197822	0	0	0	258	8.8	8.55	164.6	6.8	0.02	0.66	489	3	911	12.44	0	0.19	99.81	41.823058	2.452503
2	31	0.00357662	21.0708834	0	0	0	258	7.6	8.67	249.9	6.25	0.03	3.24	655	4	875	49.06	0	0	100	41.866086	2.593067
3	13	0.000523638	8.830002059	102	1	35	57	9.6	8.54	227	7.24	0.02	1.97	170	3	908	12.44	0.79	3.27	95.94	41.878361	2.648461
4	27	0.001042801	16.02624964	99	1	112	15	7.5	8.08	314.3	6.28	0.01	0.42	430	3	788	6.5	2.17	0.82	97.01	41.770756	2.269275
5	16	0.000514217	18.64961737	70	7	5	9	9.25	8.46	223.9	6.2	0.03	0.69	100	3	842	13.53	0	99.49	0.51	42.387661	3.051733
6	26	0.00406358	28.52340348	0	0	0	248	8.8	8.96	439.4	6.85	0.02	6.14	385	3	1038	9.17	0	0.89	99.11	42.071592	2.540794
7	19	0.003139392	12.06	0	0	0	248	10	9.09	359.4	7.44	0.01	2.43	630	4	953	30.99	1.44	0.03	98.53	42.07794167	2.33861111
8	17	0.001788412	8.32556366	257	5	107	30	8.7	6.79	492.7	8.26	0.01	0.54	526	3	963	13.32	0	0.58	99.42	42.10981944	2.48861111
9	14	0.001558211	5.289105152	30	1	68	26	8.9	8.16	542.4	5.3	0.16	4.81	140	3	816	7.71	0	78.49	21.51	41.920217	2.714231
10	29	0.004234609	34.67193749	0	0	0	273	9.5	8.84	426.8	7.09	0.01	0.73	605	4	470	28.93	0	14.13	85.87	41.310119	1.087778
11	21	0.003039383	21.74894684	36	1	73	33	10.3	8.97	713.7	6.78	0.02	4.34	330	4	590	26.87	0	100	0	41.397678	1.593594
12	19	0.000642627	13.08448511	245	8	5	71	10.4	9.06	234.8	6.46	0.08	2.55	475	4	475	965.43	0.05	2.27	97.69	42.11415	2.4481
13	21	0.002393055	17.66597079	28	2	79	27	8.9	8.8	272.6	5.6	1.73	6.17	219	4	998	13.75	0	34.43	65.57	42.125233	2.681933
14	16	0.001782736	3.121394521	159	3	40	66	7.6	9.22	266	6.5	0.03	1.81	484	4	1026	15.72	0	1.14	49.34	42.124633	2.440917
15	14	0.003078395	8.95668876	340	2	23	76	8.5	9.1	330.6	9.2	0.01	0.46	325	3	732	10.99	2.19	0.94	96.87	41.741217	1.936094
